"ID","Title","Report DOI URL"
"7","Inclusive Multimodal Routing: Who Gets Left Behind?","https://doi.org/10.17605/OSF.IO/r2674"
"8","A New Spatio-Temporal Method for Detecting Human-Wildlife Encounters from GNSS Trajectories","https://doi.org/10.17605/OSF.IO/DZT8C"
"10","Towards Fine-grained Relevance Scoring of Social Media Posts in Disaster Response: A Decay-based Regression Approach","https://doi.org/10.17605/OSF.IO/ZPURT"
"12","Analysis of the spatial and temporal pattern of COVID-19 incidence rate across Germany","https://doi.org/10.17605/OSF.IO/DZURB"
"13","Generalizability of Foundation Models: A Case Study on Cocoa Mapping Across Countries Using Sparse Labels","https://doi.org/10.17605/OSF.IO/YH8F6"
"15","Enhancing the Potential of a Tangible-Digital Planning Interface through User Evaluation","https://doi.org/10.17605/OSF.IO/KCPZE"
"16","Exploring urban polygonal representation learning for complex footprint groups","https://doi.org/10.17605/OSF.IO/da3z4"
"17","Towards national-scale ecological applications: harmonised framework for LiDAR point cloud processing for vegetation metrics calculation","https://doi.org/10.17605/OSF.IO/75pwn"
"21","Spatio-Temporal Knowledge Graph from Unstructured Texts: A Multi-Scale Approach for Food Security Monitoring","https://doi.org/10.17605/OSF.IO/BV4MK"
"22","Maximizing Data Coverage: Fusing Street View and Oblique Imagery to Quantify Vertical Greenery Potential","https://doi.org/10.17605/OSF.IO/HETV8"
"26","Food Insecurity Projections for Anticipatory Action: A Comparative Spatiotemporal Analysis of FEWS NET and the IPC in Somalia","https://doi.org/10.53962/pdw8-n5v0"
"29","Assessing the Geographic Diversity of AI's Platial Representations in Image Generation","https://doi.org/10.17605/OSF.IO/vcgy2"
"31","Geo-Alignment of Vague Cognitive Regions: Representing Uneven Cognitive Geographies of Large Language Models","https://doi.org/10.17605/OSF.IO/WH6GD"
"33","OpenStreetMap Suitability Analysis for Wheelchair Routing","https://doi.org/10.17605/OSF.IO/8c3vf"
